Indice,Time,PSolStatus,X,Y,Z,stdX,stdY,stdZ,VSolStatus,VX,VY,VZ,stdVX,stdVY,stdVZ,VLatency,SolAge,SolSatNumber
   86,2016-05-31 14:41:28.61,0,4918527.23625,-791232.416751,3969678.53085,9.63927745819,3.39876127243,4.90902519226,0,0.252886310811,-0.0406604792402,-0.0284882857313,1.1521140337,0.406229674816,0.586740732193,0.15000000596,0.0,5
   87,2016-05-31 14:41:28.72,0,4918527.22623,-791232.413296,3969678.52052,9.63951969147,3.39865660667,4.9088640213,0,0.444810544959,-0.0721176654906,-0.000928902478336,1.15214300156,0.406217157841,0.586721479893,0.15000000596,0.0,5
   88,2016-05-31 14:41:28.82,0,4918527.23765,-791232.433253,3969678.53565,9.63987350464,3.39862442017,4.90877199173,0,0.397466110187,-0.125710093759,0.0327961981893,1.15218532085,0.406213313341,0.586710453033,0.15000000596,0.0,5
   89,2016-05-31 14:41:28.92,0,4918527.25919,-791232.436089,3969678.54354,9.64013195038,3.39853429794,4.90862035751,0,0.464896930471,-0.0991859762312,0.0341773673354,1.15221607685,0.406202554703,0.586692333221,0.15000000596,0.0,5
   90,2016-05-31 14:41:29.02,0,4918527.27237,-791232.454326,3969678.56498,9.64049530029,3.39855670929,4.90854740143,0,0.562261719908,-0.128118423097,0.063754809069,1.15225958824,0.406205236912,0.586683630943,0.15000000596,0.0,5
   91,2016-05-31 14:41:29.12,0,4918527.24734,-791232.449103,3969678.5613,9.64075374603,3.3984644413,4.90841150284,0,0.531344131276,-0.103268740419,0.0706170863441,1.15229058266,0.40619418025,0.58666741848,0.15000000596,0.0,5
   92,2016-05-31 14:41:29.22,0,4918527.24133,-791232.451828,3969678.56397,9.64103031158,3.39839506149,4.90827226639,0,0.421960765663,-0.0125853763348,0.129487305483,1.15232348442,0.406185925007,0.586650729179,0.15000000596,0.0,5
   93,2016-05-31 14:41:29.32,0,4918527.26898,-791232.455739,3969678.57949,9.64129447937,3.39831089973,4.90812301636,0,0.570114159649,-0.131057961383,0.0523994218456,1.15235507488,0.40617582202,0.586632907391,0.15000000596,0.0,5
   94,2016-05-31 14:41:29.42,0,4918527.23905,-791232.449871,3969678.57633,9.64155769348,3.39821076393,4.90797185898,0,0.453789492838,-0.154769462039,0.0015817857111,1.15238666534,0.406163871288,0.586614847183,0.15000000596,0.0,5
   95,2016-05-31 14:41:29.52,0,4918527.25167,-791232.451781,3969678.57942,9.64176940918,3.39807677269,4.90778541565,0,0.489815702207,-0.168663682941,0.000746732363041,1.15241193771,0.406147867441,0.586592555046,0.15000000596,0.0,5
   96,2016-05-31 14:41:29.62,0,4918527.26401,-791232.453925,3969678.58277,9.64203453064,3.39797353745,4.9076499939,0,0.424983389628,-0.131054817054,-0.0248166518504,1.15244352818,0.40613552928,0.586576402187,0.15000000596,0.0,5
   97,2016-05-31 14:41:29.72,0,4918527.29528,-791232.456127,3969678.60263,9.64225578308,3.39788746834,4.90748739243,0,0.546800076276,-0.110302233921,-0.0435986034063,1.15246999264,0.406125247478,0.586556911469,0.15000000596,0.0,5
   98,2016-05-31 14:41:29.82,0,4918527.28029,-791232.462188,3969678.60407,9.64252758026,3.39779448509,4.90734434128,0,0.594066828704,-0.157037321466,0.0184596283339,1.15250253677,0.40611410141,0.58653986454,0.15000000596,0.0,5
   99,2016-05-31 14:41:29.92,0,4918527.2786,-791232.463367,3969678.61114,9.64275455475,3.39767432213,4.90717506409,0,0.673295370254,-0.18856334066,0.132249436532,1.15252959728,0.406099766493,0.586519598961,0.15000000596,0.0,5
  100,2016-05-31 14:41:30.02,0,4918527.26324,-791232.452411,3969678.59909,9.64299869537,3.39756250381,4.90701913834,0,0.596626941167,-0.138494690352,-0.0437092229504,1.15255880356,0.40608638525,0.586500942707,0.15000000596,0.0,5
